Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),PC1,PC2,Selected (5),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z
No,No,DeMar DeRozan,derozde01,No,No,No,2.45163,0.423614,No,NBA,TOR,SG,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,0.477,7.5,8.9,0.842,1,4.3,5.3,4,1.1,0.2,2.5,1.8,27.8,1.86539
No,No,Andre Drummond,drumman01,No,No,No,-4.24165,1.64368,No,NBA,DET,C,7.2,13.6,0.53,0,0.1,0.286,7.2,13.5,0.532,0.531,2,5.3,0.386,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5,1.57506
No,No,Kevin Durant,duranke01,No,No,No,1.62947,0.551711,No,NBA,GSW,PF,9.6,17.8,0.537,2,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2,27,2.57802
No,No,Joel Embiid,embiijo01,No,No,No,1.28557,2.79958,No,NBA,PHI,C,9.2,19.6,0.466,1.6,4.5,0.367,7.5,15.2,0.495,0.508,8.7,11.2,0.783,2.8,8.3,11.1,3,1.2,3.5,5.4,5.1,28.7,2.2481
No,No,Tyreke Evans,evansty01,No,No,No,1.02072,-1.87585,No,NBA,NOP,SF,6.9,17.2,0.401,1.6,5.3,0.3,5.3,11.9,0.446,0.447,3.4,4.4,0.776,0.5,6.1,6.5,6.9,1.7,0.3,3,3.1,18.8,1.07358
No,No,Kenneth Faried,farieke01,No,No,No,-3.71985,0.514281,No,NBA,DEN,PF,6.3,11.6,0.548,0,0.2,0,6.3,11.4,0.556,0.548,3.6,5.2,0.693,5.1,7.8,12.8,1.5,1.2,1.1,1.6,3.4,16.3,1.04718
No,No,Marc Gasol,gasolma01,No,No,No,0.139007,-0.695896,No,NBA,MEM,C,7.6,16.5,0.459,1.5,3.8,0.388,6.1,12.7,0.48,0.503,4,4.7,0.837,0.9,5.7,6.6,4.8,1,1.4,2.4,2.4,20.6,1.27153
No,No,Pau Gasol,gasolpa01,No,No,No,-1.75758,-0.379566,No,NBA,SAS,C,6.7,13.4,0.502,1.2,2.3,0.538,5.5,11.1,0.494,0.548,2.9,4.1,0.707,2.4,8.7,11.1,3.3,0.5,1.5,1.8,2.4,17.5,1.28473
No,No,Paul George,georgpa01,No,No,No,1.73189,-0.847226,No,NBA,IND,SF,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.4,1.6,0.4,2.9,2.8,23.8,1.33751
No,No,Rudy Gobert,goberru01,No,No,No,-4.567,2.1212,No,NBA,UTA,C,5.4,8.2,0.661,0,0,0,5.4,8.2,0.662,0.661,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9,1.07358
No,No,Blake Griffin,griffbl01,No,No,No,0.120461,-0.202011,No,NBA,LAC,PF,8.3,16.8,0.493,0.7,2,0.336,7.6,14.9,0.514,0.513,5.5,7.3,0.76,1.9,6.7,8.6,5.2,1,0.4,2.5,2.7,22.8,1.69383
No,No,James Harden,hardeja01,No,No,No,5.15244,0.510316,No,NBA,HOU,PG,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8,2.86835
No,No,Gordon Hayward,haywago01,No,No,No,1.14493,-0.821088,No,NBA,UTA,SF,7.8,16.5,0.471,2.1,5.4,0.398,5.7,11.2,0.506,0.536,5.2,6.1,0.844,0.7,4.9,5.6,3.6,1,0.3,2,1.7,22.9,1.28473
No,No,Danuel House Jr.,houseda01,No,No,No,-7.86342,-5.575,No,NBA,WAS,SG,0,0,,0,0,,0,0,,,0,0,,0,36,36,0,0,0,0,0,0,2.11613
No,No,Dwight Howard,howardw01,No,No,No,-4.15571,2.56358,No,NBA,ATL,C,6.4,10,0.633,0,0,0,6.4,10,0.635,0.633,3.7,6.9,0.533,4.8,10.5,15.4,1.7,1,1.5,2.8,3.3,16.4,1.31112
No,No,Josh Huestis,huestjo01,No,No,No,-3.36556,-0.54994,No,NBA,OKC,PF,7,12.8,0.545,2.3,4.6,0.5,4.6,8.1,0.571,0.636,0,1.2,0,4.6,5.8,10.5,3.5,0,3.5,0,0,16.3,1.8258
No,No,Kyrie Irving,irvinky01,No,No,No,3.34465,-0.445163,No,NBA,CLE,PG,9.6,20.2,0.473,2.5,6.3,0.401,7,14,0.505,0.535,4.2,4.7,0.905,0.7,2.5,3.3,6,1.2,0.3,2.6,2.2,25.9,1.57506
No,No,Demetrius Jackson,jacksde01,No,No,No,1.16896,2.46951,No,NBA,BOS,PG,6.4,8.5,0.75,2.1,2.1,1,4.2,6.4,0.667,0.875,6.4,12.7,0.5,4.2,4.2,8.5,6.4,0,0,0,0,21.2,2.12932
No,No,LeBron James,jamesle01,No,No,No,2.2003,1.16952,No,NBA,CLE,SF,9.5,17.3,0.548,1.6,4.4,0.363,7.9,12.9,0.611,0.594,4.6,6.8,0.674,1.2,7,8.2,8.3,1.2,0.6,3.9,1.7,25.2,2.36687
No,No,Al Jefferson,jeffeal01,No,No,No,-2.19155,1.51407,No,NBA,IND,C,9.1,18.2,0.499,0,0,0,9.1,18.2,0.5,0.499,2.5,3.3,0.765,2.9,7.8,10.7,2.2,0.7,0.6,1.3,4.8,20.7,1.16596
No,No,Brice Johnson,johnsbr02,No,No,No,-1.55664,-5.07724,No,NBA,LAC,PF,8,28,0.286,0,0,,8,28,0.286,0.286,0,0,,4,8,12,4,8,4,4,0,16,2.644
No,No,Nikola Jokić,jokicni01,No,No,No,-1.17114,2.36645,No,NBA,DEN,C,8.7,15.1,0.578,0.8,2.5,0.324,7.9,12.6,0.628,0.605,3.3,4,0.825,3.7,8.9,12.7,6.3,1.1,1,3,3.8,21.6,2.10293
No,No,Dahntay Jones,jonesda02,No,No,No,2.4505,1.20569,No,NBA,CLE,SF,9,24,0.375,0,6,0,9,18,0.5,0.375,9,12,0.75,3,3,6,3,0,0,3,3,27,1.32432
No,No,Terrence Jones,joneste01,No,No,No,-5.95839,-12.4521,No,NBA,MIL,PF,0,18,0,0,0,,0,18,0,0,0,0,,0,18,18,0,6,6,0,0,0,1.32432
No,No,DeAndre Jordan,jordade01,No,No,No,-4.9262,2.53063,No,NBA,LAC,C,5.8,8.1,0.714,0,0,0,5.8,8.1,0.717,0.714,2.9,6,0.482,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3,14.4,1.23194
No,No,Enes Freedom,kanteen01,No,No,No,-1.03735,2.9849,No,NBA,OKC,C,9.4,17.3,0.545,0.1,0.9,0.132,9.3,16.4,0.568,0.549,5.3,6.7,0.786,4.6,6.7,11.3,1.6,0.8,0.9,2.9,3.6,24.3,1.64104
No,No,Kawhi Leonard,leonaka01,No,No,No,2.38521,-0.00254722,No,NBA,SAS,SF,9.3,19.1,0.485,2.1,5.6,0.38,7.1,13.5,0.529,0.541,6.8,7.8,0.88,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5,2.15572
No,No,Damian Lillard,lillada01,No,No,No,3.69995,-0.603313,No,NBA,POR,PG,8.8,19.9,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,1.90498
No,No,Jeremy Lin,linje01,No,No,No,2.42095,-1.47753,No,NBA,BRK,PG,7.1,16.3,0.438,2.4,6.4,0.372,4.8,9.9,0.48,0.51,4.7,5.7,0.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3,1.31112
No,No,Shawn Long,longsh01,No,No,No,-2.08304,3.90585,No,NBA,PHI,C,9.4,16.8,0.56,1.1,2.9,0.368,8.3,13.8,0.6,0.592,2.9,5.4,0.543,6.3,6.8,13.1,2,1.4,1.4,2,7.5,22.8,1.48268
No,No,Brook Lopez,lopezbr01,No,No,No,1.03645,0.767905,No,NBA,BRK,C,9,19,0.474,2.2,6.3,0.346,6.8,12.7,0.536,0.531,4.8,5.9,0.81,2,4.6,6.5,2.9,0.6,2,3,3.1,24.9,1.42989
No,No,Kevin Love,loveke01,No,No,No,0.532651,-1.70164,No,NBA,CLE,PF,7.1,16.6,0.427,2.8,7.4,0.373,4.3,9.1,0.471,0.51,4.9,5.6,0.871,2.8,9.9,12.7,2.2,1,0.4,2.3,2.4,21.8,1.77301
No,No,Kyle Lowry,lowryky01,No,No,No,2.59632,-1.38511,No,NBA,TOR,PG,6.8,14.7,0.464,3.1,7.5,0.412,3.7,7.2,0.518,0.569,4.8,5.9,0.819,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6,1.20555
No,No,Boban Marjanović,marjabo01,No,No,No,-2.33723,2.80667,No,NBA,DET,C,8.8,16.2,0.545,0,0,,8.8,16.2,0.545,0.545,5.8,7.1,0.81,5.7,10.3,16,1.1,0.7,1.5,1.2,3.1,23.5,2.44605
No,No,CJ McCollum,mccolcj01,No,No,No,1.79334,-0.926787,No,NBA,POR,SG,8.9,18.6,0.48,2.4,5.7,0.421,6.5,12.9,0.506,0.544,3.5,3.8,0.912,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7,1.02079
No,No,JaVale McGee,mcgeeja01,No,No,No,-3.01724,4.38496,No,NBA,GSW,C,10.1,15.5,0.652,0,0.1,0,10.1,15.4,0.658,0.652,2.7,5.4,0.505,4.9,7,11.9,0.8,0.9,3.3,1.9,5.3,23,1.68063
No,No,Paul Millsap,millspa01,No,No,No,-0.7823,-1.36342,No,NBA,ATL,PF,6.6,14.9,0.442,1.2,3.7,0.311,5.5,11.2,0.486,0.481,4.8,6.2,0.768,1.7,6.5,8.2,3.9,1.4,1,2.4,2.9,19.1,1.09997
No,No,Greg Monroe,monrogr01,No,No,No,-2.36273,0.53886,No,NBA,MIL,C,7.6,14.3,0.533,0,0.1,0,7.6,14.3,0.536,0.533,3.5,4.7,0.741,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8,1.25833
No,No,Dirk Nowitzki,nowitdi01,No,No,No,-0.607374,-2.70086,No,NBA,DAL,PF,7.5,17.1,0.437,2,5.3,0.378,5.5,11.9,0.463,0.495,2.5,2.8,0.875,0.6,8.3,8.9,2.1,0.8,1,1.3,2.9,19.4,1.06038
No,No,Jusuf Nurkić,nurkiju01,No,No,No,-2.81896,1.29798,No,NBA,2TM,C,7,13.8,0.507,0,0,0,7,13.8,0.508,0.507,3.1,5.4,0.571,4,8.1,12.1,3.2,1.3,1.9,3.7,4.2,17.1,1.02079
No,No,Jusuf Nurkić,nurkiju01,No,No,No,-2.29324,1.44665,No,NBA,POR,C,7.4,14.5,0.508,0,0.1,0,7.4,14.5,0.511,0.508,3.9,6,0.66,4,8.8,12.8,3.9,1.5,2.3,3.8,4.5,18.7,1.44309
No,No,Kyle O'Quinn,oquinky01,No,No,No,-3.92445,0.608251,No,NBA,NYK,C,6.3,12.1,0.521,0.1,0.5,0.118,6.2,11.6,0.538,0.523,1.9,2.4,0.771,4.6,8.3,12.9,3.4,1.1,3,2.2,5.1,14.5,1.00759
No,No,Jabari Parker,parkeja01,No,No,No,-0.433502,-1.34005,No,NBA,MIL,PF,8.3,17,0.49,1.4,3.7,0.365,7,13.2,0.525,0.53,3.4,4.5,0.743,1.6,4.9,6.5,3,1,0.5,1.9,2.3,21.4,1.08678
No,No,Chris Paul,paulch01,No,No,No,2.22161,-1.54918,No,NBA,LAC,PG,7,14.7,0.476,2.3,5.7,0.411,4.7,9.1,0.518,0.555,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7,1.8258
No,No,Zach Randolph,randoza01,No,No,No,-1.19666,-0.60769,No,NBA,MEM,PF,8.7,19.4,0.449,0.4,1.9,0.223,8.3,17.5,0.474,0.46,2.8,3.9,0.731,3.7,8.4,12.1,2.5,0.8,0.2,2,2.7,20.7,1.53547
No,No,Isaiah Thomas,thomais02,No,No,No,5.25031,0.519899,No,NBA,BOS,PG,9.6,20.6,0.463,3.4,9.1,0.379,6.1,11.6,0.528,0.546,8.3,9.1,0.909,0.6,2.3,2.9,6.3,1,0.2,2.9,2.3,30.8,2.11613
No,No,Klay Thompson,thompkl01,No,No,No,1.86891,-1.40859,No,NBA,GSW,SG,8.8,18.7,0.468,3.6,8.8,0.414,5.1,9.9,0.516,0.565,2.5,3,0.853,0.7,3.2,3.9,2.2,0.9,0.5,1.7,1.9,23.7,1.00759
No,No,Karl-Anthony Towns,townska01,No,No,No,-0.45061,2.33068,No,NBA,MIN,C,9.5,17.6,0.542,1.2,3.3,0.367,8.3,14.3,0.582,0.576,4.2,5.1,0.832,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5,2.06334
No,No,Nikola Vučević,vucevni01,No,No,No,-2.32842,0.0155926,No,NBA,ORL,C,8,17.2,0.468,0.4,1.2,0.307,7.7,15.9,0.481,0.48,1.8,2.7,0.669,2.9,10,13,3.5,1.3,1.2,1.9,3,18.2,1.62784
No,No,Dwyane Wade,wadedw01,No,No,No,1.12013,-1.30397,No,NBA,CHI,SG,8.3,19.2,0.434,0.9,2.9,0.31,7.4,16.3,0.456,0.457,4.5,5.6,0.794,1.3,4.2,5.4,4.6,1.7,0.8,2.8,2.3,22,1.24514
No,No,Kemba Walker,walkeke02,No,No,No,3.21888,-1.74482,No,NBA,CHO,PG,8.5,19,0.444,3.2,7.9,0.399,5.3,11.1,0.476,0.527,4,4.7,0.847,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1,1.50907
No,No,John Wall,walljo01,No,No,No,2.64273,-1.17402,No,NBA,WAS,PG,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,0.482,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9,1.86539
No,No,Russell Westbrook,westbru01,No,No,No,5.55002,1.06693,No,NBA,OKC,PG,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,0.476,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9,3.81852
No,No,Hassan Whiteside,whiteha01,No,No,No,-3.61844,1.96846,No,NBA,MIA,C,7.8,13.9,0.557,0,0,,7.8,13.9,0.557,0.557,3.2,5.1,0.628,4.2,11.4,15.6,0.8,0.8,2.3,2.2,3.2,18.8,1.70703
No,No,Alan Williams,willial03,No,No,No,-3.73689,1.77907,No,NBA,PHO,C,7,13.6,0.517,0,0.1,0,7,13.5,0.519,0.517,3.6,5.7,0.625,4.8,10.1,14.8,1.2,1.4,1.6,1.9,6.4,17.6,1.09997
No,No,Lou Williams,willilo02,No,No,No,3.06817,-1.27376,No,NBA,2TM,SG,7.7,18,0.429,2.9,8.1,0.365,4.8,10,0.48,0.511,7.3,8.3,0.88,0.5,3.2,3.6,4.3,1.4,0.4,2.9,1.7,25.7,1.42989
No,No,Lou Williams,willilo02,No,No,No,4.0695,-1.20417,No,NBA,LAL,SG,8.4,18.8,0.444,3.1,8.1,0.385,5.2,10.7,0.489,0.527,7.8,8.8,0.884,0.4,3,3.4,4.7,1.7,0.3,3.1,1.7,27.7,1.72022
