Selected (4),Selected,player,player_id,Selected (1),Selected (2),Selected (3),mds-x,mds-y,Selected (5),Selected (6),lg,team,pos,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min,impact_z
No,No,LaMarcus Aldridge,aldrila01,No,No,No,2.63071,5.64514,No,No,NBA,SAS,PF,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.48,0.488,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,1.00759
No,No,Giannis Antetokounmpo,antetgi01,No,No,No,2.0414,-7.15457,No,No,NBA,MIL,SF,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,0.541,6,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2,1.99736
No,No,Carmelo Anthony,anthoca01,No,No,No,-6.12497,1.91351,No,No,NBA,NYK,SF,8.5,19.7,0.433,2.1,6,0.359,6.4,13.7,0.466,0.488,4.3,5.2,0.833,0.9,5.3,6.2,3,0.9,0.5,2.2,2.8,23.5,1.20555
No,No,Bradley Beal,bealbr01,No,No,No,-6.36688,-6.67239,No,No,NBA,WAS,SG,8.5,17.7,0.482,3,7.4,0.404,5.6,10.3,0.538,0.566,3.8,4.6,0.825,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,1.02079
No,No,Eric Bledsoe,bledser01,No,No,No,-12.5057,1.40194,No,No,NBA,PHO,PG,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12,0.477,0.485,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23,1.42989
No,No,Joel Bolomboy,bolomjo01,No,No,No,23.0514,-0.599076,No,No,NBA,UTA,PF,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,0.594,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,1.03399
No,No,Anthony Brown,brownan02,No,No,No,-1.25584,16.8751,No,No,NBA,ORL,SF,9,20.3,0.444,2.3,6.8,0.333,6.8,13.5,0.5,0.5,0,0,,4.5,11.3,15.8,4.5,0,0,2.3,4.5,20.3,1.8258
No,No,Jimmy Butler,butleji01,No,No,No,-11.0031,3.4639,No,No,NBA,CHI,SF,7.3,16,0.455,1.2,3.2,0.367,6.1,12.9,0.477,0.492,7.5,8.7,0.865,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,1.77301
No,No,Clint Capela,capelca01,No,No,No,19.1605,-9.06611,No,No,NBA,HOU,C,8.4,13.1,0.643,0,0,,8.4,13.1,0.643,0.643,2.2,4.1,0.531,4.1,8.1,12.2,1.5,0.8,1.8,2,4.2,19,1.20555
No,No,Mike Conley,conlemi01,No,No,No,-11.2878,-3.96311,No,No,NBA,MEM,PG,7.3,15.8,0.46,2.7,6.6,0.408,4.6,9.3,0.497,0.545,5,5.8,0.859,0.5,3.3,3.8,6.8,1.4,0.3,2.5,2,22.2,1.32432
No,No,DeMarcus Cousins,couside01,No,No,No,-12.8275,9.53344,No,No,NBA,2TM,C,9.4,20.9,0.452,1.9,5.3,0.361,7.5,15.6,0.483,0.498,7.6,9.8,0.772,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4,2.60441
No,No,DeMarcus Cousins,couside01,No,No,No,-14.3115,9.69068,No,No,NBA,SAC,C,9.6,21.3,0.452,1.8,5.1,0.356,7.8,16.2,0.482,0.494,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1,2.68359
No,No,DeMarcus Cousins,couside01,No,No,No,-8.90589,8.65147,No,No,NBA,NOP,C,8.9,19.7,0.452,2.3,6,0.375,6.6,13.7,0.486,0.51,5.9,7.6,0.777,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26,2.31408
No,No,Stephen Curry,curryst01,No,No,No,-15.8961,-10.9842,No,No,NBA,GSW,PG,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,0.58,4.4,4.9,0.898,0.8,4,4.8,7.2,1.9,0.2,3.3,2.5,27.3,2.06334
No,No,Anthony Davis,davisan02,No,No,No,1.98304,-15.0261,No,No,NBA,NOP,C,10.2,20.3,0.505,0.5,1.8,0.299,9.7,18.5,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,2.72318
No,No,DeMar DeRozan,derozde01,No,No,No,-17.2269,5.09507,No,No,NBA,TOR,SG,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,0.477,7.5,8.9,0.842,1,4.3,5.3,4,1.1,0.2,2.5,1.8,27.8,1.86539
No,No,Andre Drummond,drumman01,No,No,No,15.8825,5.87116,No,No,NBA,DET,C,7.2,13.6,0.53,0,0.1,0.286,7.2,13.5,0.532,0.531,2,5.3,0.386,5.2,11.5,16.7,1.3,1.9,1.3,2.3,3.5,16.5,1.57506
No,No,Kevin Durant,duranke01,No,No,No,-1.88368,-13.0295,No,No,NBA,GSW,PF,9.6,17.8,0.537,2,5.4,0.375,7.5,12.4,0.608,0.594,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2,27,2.57802
No,No,Joel Embiid,embiijo01,No,No,No,-6.07709,-19.6891,No,No,NBA,PHI,C,9.2,19.6,0.466,1.6,4.5,0.367,7.5,15.2,0.495,0.508,8.7,11.2,0.783,2.8,8.3,11.1,3,1.2,3.5,5.4,5.1,28.7,2.2481
No,No,Tyreke Evans,evansty01,No,No,No,-6.78815,10.6648,No,No,NBA,NOP,SF,6.9,17.2,0.401,1.6,5.3,0.3,5.3,11.9,0.446,0.447,3.4,4.4,0.776,0.5,6.1,6.5,6.9,1.7,0.3,3,3.1,18.8,1.07358
No,No,Kenneth Faried,farieke01,No,No,No,17.2731,-0.00822137,No,No,NBA,DEN,PF,6.3,11.6,0.548,0,0.2,0,6.3,11.4,0.556,0.548,3.6,5.2,0.693,5.1,7.8,12.8,1.5,1.2,1.1,1.6,3.4,16.3,1.04718
No,No,Marc Gasol,gasolma01,No,No,No,-2.72731,1.69628,No,No,NBA,MEM,C,7.6,16.5,0.459,1.5,3.8,0.388,6.1,12.7,0.48,0.503,4,4.7,0.837,0.9,5.7,6.6,4.8,1,1.4,2.4,2.4,20.6,1.27153
No,No,Pau Gasol,gasolpa01,No,No,No,7.41023,4.93788,No,No,NBA,SAS,C,6.7,13.4,0.502,1.2,2.3,0.538,5.5,11.1,0.494,0.548,2.9,4.1,0.707,2.4,8.7,11.1,3.3,0.5,1.5,1.8,2.4,17.5,1.28473
No,No,Paul George,georgpa01,No,No,No,-7.6652,-1.4855,No,No,NBA,IND,SF,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.4,1.6,0.4,2.9,2.8,23.8,1.33751
No,No,Rudy Gobert,goberru01,No,No,No,28.0306,-5.89245,No,No,NBA,UTA,C,5.4,8.2,0.661,0,0,0,5.4,8.2,0.662,0.661,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9,1.07358
No,No,Blake Griffin,griffbl01,No,No,No,-0.684718,-1.41576,No,No,NBA,LAC,PF,8.3,16.8,0.493,0.7,2,0.336,7.6,14.9,0.514,0.513,5.5,7.3,0.76,1.9,6.7,8.6,5.2,1,0.4,2.5,2.7,22.8,1.69383
No,No,James Harden,hardeja01,No,No,No,-23.2522,-7.94225,No,No,NBA,HOU,PG,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8,2.86835
No,No,Gordon Hayward,haywago01,No,No,No,-5.73281,-2.15809,No,No,NBA,UTA,SF,7.8,16.5,0.471,2.1,5.4,0.398,5.7,11.2,0.506,0.536,5.2,6.1,0.844,0.7,4.9,5.6,3.6,1,0.3,2,1.7,22.9,1.28473
