Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Troy Daniels,danietr01,2017,NBA,25,MEM,SG,67,3,1183,5.6,15.1,0.374,4.2,10.8,0.389,1.4,4.3,0.336,0.513,1.3,1.6,0.796,0.7,2.4,3.0,1.4,0.6,0.1,1.4,2.7,16.8
No,Anthony Davis,davisan02,2017,NBA,23,NOP,C,75,75,2708,10.2,20.3,0.505,0.5,1.8,0.299,9.7,18.5,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9
No,Deyonta Davis,davisde01,2017,NBA,20,MEM,C,36,0,238,3.6,7.1,0.511,0.0,0.0,,3.6,7.1,0.511,0.511,1.5,2.7,0.556,3.0,6.1,9.1,0.3,0.5,2.6,1.2,6.1,8.8
No,Ed Davis,davised01,2017,NBA,27,POR,PF,46,12,789,3.4,6.5,0.528,0.0,0.0,,3.4,6.5,0.528,0.528,2.3,3.7,0.617,4.4,6.8,11.1,1.2,0.7,1.0,1.7,6.3,9.1
No,Dewayne Dedmon,dedmode01,2017,NBA,27,SAS,C,76,37,1330,4.4,7.0,0.622,0.0,0.0,,4.4,7.0,0.622,0.622,1.8,2.5,0.699,3.5,9.9,13.4,1.2,1.0,1.7,1.7,4.9,10.5
No,Sam Dekker,dekkesa01,2017,NBA,22,HOU,PF,77,2,1419,5.2,10.9,0.473,1.5,4.7,0.321,3.6,6.1,0.591,0.543,1.0,1.7,0.559,2.4,4.8,7.2,1.9,1.0,0.5,1.0,2.1,12.8
No,Malcolm Delaney,delanma01,2017,NBA,27,ATL,PG,73,2,1248,4.2,11.2,0.374,0.7,3.2,0.236,3.4,8.0,0.428,0.407,2.2,2.7,0.806,0.3,3.3,3.5,5.6,1.1,0.0,2.7,3.2,11.3
No,Matthew Dellavedova,dellama01,2017,NBA,26,MIL,PG,76,54,1986,3.8,9.7,0.390,1.4,3.9,0.367,2.3,5.8,0.404,0.463,1.5,1.7,0.854,0.4,2.2,2.7,6.5,1.0,0.0,2.4,2.8,10.5
No,Luol Deng,denglu01,2017,NBA,31,LAL,SF,56,49,1486,4.0,10.3,0.387,1.2,4.0,0.309,2.7,6.3,0.436,0.447,1.1,1.5,0.730,1.5,5.6,7.1,1.8,1.2,0.5,1.0,1.5,10.3
No,DeMar DeRozan,derozde01,2017,NBA,27,TOR,SG,74,74,2620,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,0.477,7.5,8.9,0.842,1.0,4.3,5.3,4.0,1.1,0.2,2.5,1.8,27.8
